geometry,amenity,name,addr:housenumber,addr:postcode,addr:street,source,source_ref,postal_code,addr:city,addr:suburb,ele,operator,name:pt,phone,building,alt_name,operator:type,owner,ownership,short_name,website,wikipedia,internet_access,name:en,wikidata,building:levels,contact:facebook,network,training,type,tipo_escola,geometry_std
POINT (-50.1699843 -25.0927985),school,Colégio SESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.1699843 -25.0927985)
POINT (-50.1515047 -25.1052671),school,Escola Municipal Vereador Orival Carneiro Martins,699,84035-060,Rua Domício da Gama,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1515047 -25.1052671)
POINT (-50.1635789 -25.0694453),school,Escola Municipal Professora Maria Vitória Braga Ra,143,84015-070,Rua Egídio Doná,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1635789 -25.0694453)
POINT (-50.1337149 -25.0780976),school,Escola Municipal Professora Ruth Holzmann Ribas,2001,84020-010,Rua Fagundes Varela,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1337149 -25.0780976)
POINT (-50.1319743 -25.0923214),school,Escola Estadual General Antônio Sampaio,2145,84025-000,Avenida General Carlos Cavalcanti,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1319743 -25.0923214)
POINT (-50.1592301 -25.0985707),school,Escola Municipal Thereza Cristina Pusch,537,84001-970,Rua Santana,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1592301 -25.0985707)
POINT (-50.2367805 -25.0811689),school,Escola Municipal Felício Franscisquini,88,,Avenida Bernardino de Campos,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2367805 -25.0811689)
POINT (-50.1782109 -25.0782256),school,Escola Municipal São Jorge,1076,,Rua Visconde de Porto Alegre,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1782109 -25.0782256)
POINT (-50.1436357 -25.120542),school,Escola Estadual Maestro Bento Mossurunga,1004,84036-150,Avenida Aldo Vergani,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1436357 -25.120542)
POINT (-50.2014607 -25.0824566),college,Colégio Estadual Padre Carlos Zelesny,,,Rua Michel Laidane,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84060-000,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2014607 -25.0824566)
POINT (-50.1546899 -25.065647),school,Escola Municipal Doutor Guilherme Heller Bauer,34,84015-140,Rua Casemiro Popinigis,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1546899 -25.065647)
POINT (-50.1406237 -25.0484777),school,Escola Estadual Doranh Gomes Daitchaman,,,Avenida Israel,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84016-645,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1406237 -25.0484777)
POINT (-50.1185862 -25.0922514),school,Escola Municipal Professora Otacília Hasselmann de,3453,84030-000,Avenida General Carlos Cavalcanti,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1185862 -25.0922514)
POINT (-50.1465013 -25.0541322),school,Escola Municipal Professora Judith Macedo Silveira,935,84016-630,Avenida Antônio Saad,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1465013 -25.0541322)
POINT (-50.1329261 -25.1720237),school,Escola Municipal Agenoridas Stadler,,,Rua Dourados,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1329261 -25.1720237)
