geometry,amenity,name,addr:housenumber,addr:street,check_date,name:en,wheelchair,wikidata,wikipedia,education,addr:city,addr:postcode,addr:suburb,wikimedia_commons,school,sport,name:pt,network,old_name,training,website,phone,description,addr:country,addr:district,addr:state,email,short_name,building,operator,addr:subdistrict,contact:facebook,contact:instagram,contact:youtube,contact:phone,addr:place,contact:website,internet_access,internet_access:fee,operator:type,operator:wikidata,ref,source,office,religion,addr:housename,entrance,level,opening_hours,note,internet_access:ssid,alt_name,alt_name_1,contact:email,contact:flickr,brand,brand:wikidata,denomination,capacity,official_name,start_date,mobile,grades,language:ja,language:pt,ele,fee,image,polling_station,female_owner,lgbtq,reservation,operator:short,contact:twitter,barrier,name:etymology:wikidata,name:de,contact:fax,building:architect,building:levels,building:material,colour,height,name:es,roof:colour,name:etymology,ref:INEP,loc_name,operator:wikipedia,isced:level,min_age,network:wikidata,museum,tourism,landuse,fax,material,wall,contact:whatsapp,wikipedia:pt,building:levels:underground,contact:linkedin,toilets:wheelchair,not:operator:wikidata,layer,contact:mobile,phone:BR,nohousenumber,healthcare,ref:CNES,ref:vatin,historic,contact:foursquare,contact:spotify,shortest_name,fence_type,preschool,mapillary,access,addr:unit,leisure,fixme,roof:height,roof:shape,branch,building:prefabricated,smoking,source:geometry,addr:street:name,brunch,residential,dance:teaching,addr:floor,construction,barrier:colour,wall:colour,school:level,ref:CIE,esperanto,language:eo,operator:short_name,type,payment:account_cards,payment:american_express,payment:cards,payment:cash,payment:cheque,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,area,surface,related_law,access:conditional,geometry_std,tipo_escola
POINT (-46.7341093 -23.5280187),college,Universidade Mogi das Cruzes (UMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7341093 -23.5280187),privada
POINT (-46.7040811 -23.633754),school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7040811 -23.633754),privada
POINT (-46.7365426 -23.5254412),university,Universidade Mogi das Cruzes,550,Avenida Imperatriz Leopoldina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7365426 -23.5254412),privada
POINT (-46.5996502 -23.5412135),school,Colégio Presbiteriano do Brás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.5996502 -23.5412135),privada
POINT (-46.6981411 -23.6358527),school,Coreo Dança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6981411 -23.6358527),privada
POINT (-46.6385492 -23.5606489),university,FMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6385492 -23.5606489),privada
POINT (-46.6348742 -23.5636722),school,Anglo Vestibulares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6348742 -23.5636722),privada
POINT (-46.6429053 -23.5979732),university,UNIFESP,,,2025-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6429053 -23.5979732),privada
POINT (-46.64212 -23.6006473),university,UNIFESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.64212 -23.6006473),privada
POINT (-46.6626541 -23.5452328),college,FAAP,,,2024-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6626541 -23.5452328),privada
POINT (-46.6298562 -23.5922627),school,Lycee Pasteur,,,,Lycée Pasteur de São Paulo,yes,Q3268878,pt:Liceu Pasteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6298562 -23.5922627),privada
POINT (-46.6231717 -23.5611581),school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6231717 -23.5611581),privada
POINT (-46.5254347 -23.5977657),school,Fátima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.5254347 -23.5977657),privada
POINT (-46.6527579 -23.5707203),school,Escola Pipoquinha,61,Alameda Sarutaiá,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6527579 -23.5707203),privada
POINT (-46.6577123 -23.5727588),school,Escola Dom Ratinho,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6577123 -23.5727588),privada
POINT (-46.6512009 -23.5654358),university,Faculdade Cásper Líbero,900,Avenida Paulista,,,,Q5091543,pt:Faculdade Cásper Líbero,,São Paulo,01310-100,Bela Vista,Category:Faculdade Cásper Líbero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6512009 -23.5654358),privada
POINT (-46.6483781 -23.5702509),school,Escola de Yoga,189,Rua Maria Figueiredo,,,,,,school,,,,,sport,yoga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6483781 -23.5702509),privada
POINT (-46.6571707 -23.5701355),school,Colégio Winnicott,1111,Alameda Campinas,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6571707 -23.5701355),privada
POINT (-46.6564071 -23.5709915),college,DeRose Method Casa Paulista,288,Rua Batataes,,,,,,college,,01423-010,Jardim Paulista,,,,Método DeRose Casa Paulista,DeRose Method,Método DeRose Alameda Campinas,derose_method,http://www.derosecasapaulista.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6564071 -23.5709915),privada
POINT (-46.6561862 -23.5712647),school,Escola Kumon,264,Rua Batatais,,,,,,school,,01423-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6561862 -23.5712647),privada
POINT (-46.5157171 -23.5983101),school,EMEI Clóvis Bevilacqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.5157171 -23.5983101),publica
POINT (-46.6880944 -23.6226107),school,Beatíssima Virgem Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6880944 -23.6226107),privada
POINT (-46.6763317 -23.5999176),university,Universidade Anhembi-Morumbi,,,,Anhembi Morumbi University,,Q2043612,pt:Universidade Anhembi Morumbi,,,,,Category:Anhembi Morumbi University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6763317 -23.5999176),privada
POINT (-46.6542982 -23.6696839),school,EE João Evangelista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6542982 -23.6696839),privada
POINT (-46.7291686 -23.5092572),school,Escola Santa Tereza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7291686 -23.5092572),privada
POINT (-46.7453423 -23.6030041),school,Escola Mais,55,Rua Alfredo Mendes da Silva,,,,,,,,,,,,,,,,,https://www.escolamais.com/,1142601763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7453423 -23.6030041),privada
POINT (-46.7133489 -23.6346211),school,Colégio Elvira Brandão,158,Luiz Seraphico Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7133489 -23.6346211),privada
POINT (-46.7506249 -23.6033337),school,Colégio São Domingos Sávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7506249 -23.6033337),privada
POINT (-46.6436704 -23.5777066),school,Colégio Bandeirantes,268,,,,yes,Q5150396,pt:Colégio Bandeirantes,school,,,,,,,,,,,,,Private School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6436704 -23.5777066),privada
POINT (-46.7006135 -23.537753),school,Escola Estadual Professora Marina Cerqueira Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7006135 -23.537753),publica
POINT (-46.7011849 -23.5355464),school,EMEI Ana Maria Poppovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7011849 -23.5355464),publica
POINT (-46.6256798 -23.6087304),school,EE Conde José Vicente de Azevedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.6256798 -23.6087304),privada
