geometry,amenity,brand,brand:wikidata,dispensing,drive_through,healthcare,name,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,addr:country,addr:state,contact:phone,contact:website,opening_hours,check_date,phone,website,brand:wikipedia,contact:email,mobile,alt_name,operator,cuisine,addr:suburb,smoking,name:pt,payment:cash,payment:credit_cards,payment:debit_cards,old_name,entrance,contact:fax,parking,level,name:en,height,shop,building,description,email,check_date:opening_hours,internet_access,payment:mastercard,payment:visa,toilets:wheelchair,fax,healthcare:speciality,payment:american_express,payment:coins,payment:maestro,payment:visa_debit,payment:visa_electron,payment:elo,emergency,internet_access:fee,organic,check_date:currency:XBT,currency:XBT,payment:apple_pay,payment:cards,payment:contactless,payment:diners_club,payment:discover_card,payment:google_pay,payment:jcb,payment:lightning,payment:lightning_contactless,payment:mastercard_contactless,payment:nfc,payment:onchain,payment:samsung_pay,payment:unionpay,source,delivery,landuse,branch,building:levels,roof:levels,roof:colour,roof:material,mapillary,roof:shape,ref:vatin,atm,layer,note,payment:notes,building:colour,air_conditioning,indoor,room,area,start_date,survey:date,contact:facebook,payment:electronic_purses,wikidata,wikipedia,leisure,contact:instagram,opening_hours:drive_through,opening_date,addr:subdistrict,addr:district,type
POINT (-46.7248374 -23.5281086),pharmacy,Drogasil,Q5308185,yes,no,pharmacy,Drogasil,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5615758 -23.5434916),pharmacy,,,,,pharmacy,Farma & Cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7365315 -23.5234135),pharmacy,,,,,pharmacy,,,São Paulo,1539,05089-001,Rua Guaipá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7341461 -23.6524688),pharmacy,,,,,,Drogaria São Paulo,,São Paulo,920,05805-000,Avenida Maria Coelho Aguiar,BR,SP,+55 11 5851-6291;+55 11 5851-6907;0800 779 8767,http://www.drogariasaopaulo.com.br,Mo-Su 07:00-24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7363042 -23.6576603),pharmacy,,,,,pharmacy,Drogaria Nova São Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6430063 -23.5528451),pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6381129 -23.5599368),pharmacy,,,yes,,,Drogaria São Paulo,,,840,01502-001,Avenida da Liberdade,,,,,24/7,2025-02-19,+55 11 3207-4168,https://www.drogariasaopaulo.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6442291 -23.5984324),pharmacy,Drogaria São Paulo,Q5308184,,no,pharmacy,Drogaria São Paulo,,São Paulo,763,04039-032,Rua Pedro de Toledo,BR,SP,+55 11 5549-9647;+55 11 5571-5663;0800 779 8767,http://www.drogariasaopaulo.com.br,24/7,2025-07-12,,,en:Grupo DPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6752459 -23.5392935),pharmacy,,,,,,Drogasil,,São Paulo,1152,05016-110,Avenida Sumaré,BR,SP,+55 11 3672-3885;+55 11 3862-3089,http://www.drogasil.com.br/,24/7,2023-04-20,,,,atendimento@drogasil.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6942795 -23.5435637),pharmacy,Droga Raia,Q10357101,yes,,pharmacy,Droga Raia,,,1776,05438-300,Rua Heitor Penteado,,,,,24/7,,+55 11 3672-8279,https://www.drogaraia.com.br,pt:RaiaDrogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
