geometry,addr:housenumber,addr:postcode,addr:street,amenity,healthcare,name,phone,ref:CNES,ref:vatin,website,wheelchair,wikidata,wikipedia,name:pt,addr:city,addr:state,addr:suburb,contact:facebook,contact:flickr,contact:instagram,contact:twitter,contact:youtube,email,emergency,fax,military_service,opening_hours,operator,operator:wikidata,short_name,start_date,landuse,military,operator:short,police,contact:phone,contact:website,toilets:wheelchair,official_name,shelter,bench,healthcare:speciality,wikimedia_commons,departures_board,description,gtfs_id,route_ref,barrier,check_date,operator:type,mobile,addr:country,alt_name,name:en,name:etymology:wikidata,url,building,source,loc_name,contact:email,contact:fax,operator:ref:vatin,operator:wikipedia,internet_access,contact:linkedin,old_name,height,toilets,area,internet_access:fee,note,payment:cash,payment:credit_cards,payment:debit_cards,internet_access:ssid,building:levels,brand:wikidata,contact:google_plus,wall,ele,fixme,level,payment:account_cards,payment:american_express,payment:cheque,payment:contactless,payment:cryptocurrencies,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,tourism,addr:district,disused:amenity,disused:studio,old_website,fence_type,type,addr:housename,roof:colour,roof:shape,contact:spotify,addr:subdistrict
POINT (-46.6435335 -23.5977766),715,04024-002,Rua Napoleão de Barros,hospital,hospital,Hospital São Paulo,+55 11 576-4000,2077485,BR61699567000192,http://www.hospitalsaopaulo.org.br,yes,Q10298486,pt:Hospital São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.643394 -23.6000575),1991,04040-032,Rua Loefgren,hospital,hospital,Hospital Amparo Maternal,+55 11 5089-8277,2077388,BR61699567012018,https://www.amparomaternal.org/,,,,Hospital Amparo Maternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6493847 -23.5657296),139,01333-001,Rua São Carlos do Pinhal,hospital,hospital,Pró Matre Paulista,+55 11 3269-2233,3037274,BR60678604000202,https://www.promatre.com.br/,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6134492 -23.5696701),230,01551-010,Rua Ouvidor Portugal,hospital,hospital,Hospital Militar de Área de São Paulo,+55 11 2915-1198;+55 11 2915-1122,,,https://www.hmasp.eb.mil.br/,,,,,São Paulo,SP,Vila Monumento,https://www.facebook.com/exercito,https://www.flickr.com/photos/exercitobrasileiro/collections/,https://www.instagram.com/exercito_oficial/,https://twitter.com/exercitooficial,https://www.youtube.com/user/CCSE1982,ofcomsoc@hmasp.eb.mil.br,yes,+55 11 2915-1335,army,Mo-Fr 07:00-19:00,Exército Brasileiro,Q2292358,HMASP,1920-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6042885 -23.5541379),182,03112-100,Rua Javari,hospital,hospital,Hospital Alemão Oswald Cruz,+55 11 2081-6400,7213425,BR60726502000398,http://www.hospitalalemao.org.br/sustentabilidade_social/Paginas/UnidadeAmbulatorialSustentabilidadeSocial.aspx,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6855976 -23.6750741),,,,hospital,hospital,Hospital Vida's,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4400842 -23.4971785),,,,hospital,,Hospital Tide Setubal,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6169248 -23.4689551),3659,02341-001,Avenida Nova Cantareira,hospital,hospital,Hospital Policia Militar,,3464555,BR04198514002602,,,,,,São Paulo,,,,,,,,,,,,,Polícia Militar do Estado de São Paulo,Q10351025,,,military,police,PMESP,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4774386 -23.498781),,,Avenida Paranaguá,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6322476 -23.5293459),709,,Avenida Tiradentes,hospital,hospital,Examen,,,,,,,,Examen,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6430721 -23.5452113),47,01046-001,Avenida São Luís,hospital,,Medicina Diagnóstica Lavoisier,,,,,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,+55 11 3047-4488,http://www.lavoisier.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6509728 -23.5676418),764,01418-002,Alameda Santos,hospital,hospital,Hospital Total Cor,,,,,yes,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6319648 -23.559316),,,,hospital,hospital,Santa Margiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
