geometry,name,shop,capacity,source,source_ref,addr:city,addr:housenumber,addr:street,opening_hours,phone,website,addr:postcode,name:pt,addr:suburb,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,wheelchair,brand,check_date,building,alt_name
POINT (-50.1776819 -25.0872527),Mercado Santo Antonio,supermarket,,,,,,,,,,,,,,,,,,,,,
POINT (-50.1609781 -25.1061347),Supermercado Tozzeto,supermarket,2,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,
POINT (-50.1590386 -25.1058975),Supermercado Muffato,supermarket,2,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,
POINT (-50.1792832 -25.1050439),Mercado Vlastuin,supermarket,,Bing,,,,,,,,,,,,,,,,,,,
POINT (-50.1801183 -25.1072757),Mercado Dmenjon,supermarket,,Bing,,,,,,,,,,,,,,,,,,,
POINT (-50.1597591 -25.0883974),,convenience,,,,,,,,,,,,,,,,,,,,,
POINT (-50.1668864 -25.0801209),,convenience,,,,,,,,,,,,,,,,,,,,,
POINT (-50.1499536 -25.0726026),Condor Super Center Jardim Carvalho,supermarket,,,,Ponta Grossa,2180,Avenida Monteiro Lobato,,,,,,,,,,,,,,,
POINT (-50.1240015 -25.0930476),Super Gype,supermarket,,,,,,,,,,,,,,,,,,,,,
POINT (-50.1556216 -25.0571446),Mercearia Maranata,supermarket,,,,,,Rua Engenheiro Anísio Calazans,Mo-Sa 08:00-20:30; Su 08:30-13:00,,,,,,,,,,,,,,
POINT (-50.1558592 -25.0571792),Mercado Atlanta,supermarket,,,,,,Rua Renê Gomes Napoli,Mo-Sa 08:00-20:30; Su 08:00-13:00,,,,,,,,,,,,,,
POINT (-50.1556977 -25.1107305),Hipermercado Condor,supermarket,,,,,330,Rua Doutor Leopoldo Guimarães da Cunha,Mo-Sa 08:00-22:00; Su 08:00-20:00,+55 42 3229 3714,https://www.condor.com.br/,,,,,,,,,,,,
POINT (-50.15771 -25.0566062),mercearia vilmar,supermarket,,,,,,Rua Rômulo Gardenal,,,,,,,,,,,,,,,
POINT (-50.1617034 -25.0569511),Monalisa mix,supermarket,,,,,,Rua Engenheiro Virgínio Milanese,,,,,,,,,,,,,,,
POINT (-50.1703532 -25.0600183),Pedroso supermercado,supermarket,,,,,,Rua Francisco Ferreira,,,,,,,,,,,,,,,
POINT (-50.1786316 -25.1049451),Supermercado Dmenjon,supermarket,,,,,365,Rua Professor Cardoso Fontes,,+55 42 3028 1232,,84050-550,Supermercado Dmenjon,,,,,,,,,,
POINT (-49.8266808 -25.1376146),Mercearia Schimidt,convenience,,,,,,,,,,,,,,,,,,,,,
POINT (-50.2242028 -25.0547064),Supermercado Zubek,supermarket,,,,Ponta Grossa,700,Rua Andorinha,,,,84064-020,,Periquitos,,,,,,,,,
POINT (-50.1431256 -25.1778512),Minimercado Cará-Cará,convenience,,,,,,,,,,,,,,,,,,,,,
POINT (-50.140023 -25.1765054),Mercado Galvão,convenience,,,,,,,,,,,,,,,,,,,,,
POINT (-50.1245649 -25.1229586),Mini Mercado Camargo,convenience,,,,Ponta Grossa,404,Arnaldo José de Moraes,,042984086949,,84033-124,,Nova Ponta Grossa,,,,,,,,,
POINT (-50.1244184 -25.1242261),Mercado Abrantes,supermarket,,,,,,Rua Holga Holleben Mello,24/7,,,,,,yes,yes,yes,yes,yes,,,,
POINT (-49.9609892 -25.1429148),Snack Shop,convenience,,,,,,,,,,,Parada Boa Sorte,,,,,,,Snack Shop,2024-04-27,,
"POLYGON ((-50.1713431 -25.0914596, -50.1711699 -25.0921736, -50.1703904 -25.0920625, -50.17057 -25.0913058, -50.1713431 -25.0914596))",Hipermercado Condor,supermarket,,,,,,,,,https://www.condor.com.br/,,,,,,,,,,,yes,
"POLYGON ((-50.1452452 -25.0905191, -50.1446028 -25.0906355, -50.1445601 -25.0903545, -50.1444261 -25.0903745, -50.1443156 -25.0897939, -50.1450699 -25.0895364, -50.1452806 -25.0902353, -50.1452137 -25.0902483, -50.1452452 -25.0905191))",Hipermercado Condor Uvaranas,supermarket,,Bing,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((-50.1538612 -25.0734806, -50.1534496 -25.0729342, -50.152882 -25.073285, -50.1532936 -25.0738314, -50.1538612 -25.0734806))",Supermercado Tozetto,supermarket,,Bing,,Ponta Grossa,,Avenida Monteiro Lobato,,,,,,,,,,,,,,yes,
"POLYGON ((-50.1438942 -25.0907651, -50.1428379 -25.0909234, -50.1427319 -25.0905587, -50.1427965 -25.090535, -50.1429351 -25.0904659, -50.1439135 -25.0899731, -50.1439789 -25.0902009, -50.1438257 -25.0902079, -50.1438942 -25.0907651))",Supermercado Tozetto Uvaranas,supermarket,,Bing;Tracksource,,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1587923 -25.1255168, -50.1579351 -25.1252636, -50.1576649 -25.1261745, -50.1577767 -25.1262083, -50.1577478 -25.1263092, -50.1577862 -25.1264952, -50.1584476 -25.1266639, -50.1585315 -25.1263687, -50.1586432 -25.1264024, -50.1587364 -25.1261494, -50.158606 -25.126141, -50.1587923 -25.1255168))",,supermarket,,Bing,,,,,,,,,,,,,,,,,,yes,
