geometry,name,shop,brand,brand:wikidata,disused:amenity,old_brand,old_name,opening_hours,brand:wikipedia,branch,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,check_date,cuisine,alt_name,organic,wheelchair,changing_table,level,operator,website,payment:cash,payment:coins,payment:notes,loc_name,phone,payment:american_express,payment:credit_cards,payment:debit_cards,payment:maestro,payment:mastercard,payment:telephone_cards,payment:visa,payment:visa_debit,payment:visa_electron,addr:housename,addr:country,ref:vatin,internet_access,check_date:opening_hours,not:brand:wikidata,name:en,note,payment:elo,toilets:wheelchair,access,addr:state,contact:facebook,contact:phone,contact:website,name:pt,description,mapillary,old_alt_name,old_contact:website,wholesale,email,source,contact:instagram,contact:twitter,contact:youtube,operator:wikidata,operator:wikipedia,entrance,name:ja,old_name:pt,fax,gps,site_name,start_date,payment:pix,delivery,parking,addr:district,addr:subdistrict,air_conditioning,currency:BRL,disused:shop,amenity,female_owner,lgbtq,name:fr,bus,gtfs_id,highway,network,network:wikidata,route_ref,fuel:biogas,fuel:cng,fuel:electricity,toilets,toilets:access,building,check_date:currency:XBT,country,image,mobile,nat_name,official_name,payment:cards,payment:contactless,survey:date,payment:app,payment:apple_pay,second_hand,stroller,addr:floor,diet:vegan,diet:vegetarian,lunch,name:zh,landuse,self_checkout,height,building:levels,wikidata,wikipedia,wikipedia:pt,roof:colour,roof:shape,old_operator,short_name,fuel:diesel,fuel:ethanol,fuel:octane_87,fuel:octane_91,reg_name,barrier,contact:email,layer,opening_hours:covid19,payment:voucher_meal,payment:voucher,contact:whatsapp,disused:tourism,fixme,roof:material,fuel:octane_95,fuel:octane_98,fuel:etanol_comum,fuel:gasoline_87,self_service,compressed_air,old_loc_name,building:colour,payment:google_pay,building:levels:underground,surface,disused:office,contact:mobile,smoking,payment:sodexo,payment:prepaid_ticket,area,wikimedia_commons,building:material,building:use,cash_withdrawal,cash_withdrawal:currency,cash_withdrawal:foreign_cards,cash_withdrawal:purchase_minimum,cash_withdrawal:type,company,public_transport,indoor,dispensing,payment:nfc,room,roof:height,payment:edenred_card,payment:meal_voucher,payment:pluxee,payment:qr_code,payment:samsung_pay,payment:vr_alimentação,type
POINT (-46.6806689 -23.5270296),Hipermercado Zaffari,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7337329 -23.6525319),Rycoy Supermercado,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5467876 -23.5252608),Sonda Hipermercado,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6380059 -23.5522952),,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6349356 -23.5530529),Carrefour Express,convenience,Carrefour Express,Q2940190,bank,Itaú Unibanco,Itaú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6275785 -23.5524103),Mercadinho,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.65159 -23.5369328),Sacolão Saúde,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6502864 -23.5394139),Amreicanas Express,convenience,,,,,,Mo-Sa 09:00-19:00; Su 09:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6506528 -23.5402673),Dia,supermarket,Dia,Q925132,,,,,es:Supermercados DIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5575259 -23.5438102),Mercado Extra,supermarket,Mercado Extra,Q5422131,,,,,pt:Extra (rede varejista),Fácil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
