geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.6251282 -23.5156407),Portuguesa - Tietê,stop_position,stop,TTE,subway,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6357176 -23.5549556),Japão - Liberdade,stop_position,stop,LIB,subway,yes,Liberdade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6911243 -23.5464956),Vila Madalena,station,station,VMD,subway,yes,,Metropolitano de São Paulo,Q5244825,Category:Vila Madalena (São Paulo Metro),pt:Estação Vila Madalena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6336146 -23.5370674),Luz,stop_position,stop,LUZ,subway,yes,,,Q15243160,Category:Luz (São Paulo Metro),pt:Estação Luz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6523004 -23.5977998),AACD – Servidor,stop_position,stop,,subway,yes,,,Q5908613,Category:AACD - Servidor (São Paulo Metro),pt:Estação AACD-Servidor,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6392744 -23.547819),Anhangabaú,station,station,GBU,subway,yes,,Metropolitano de São Paulo,Q4764340,Category:Anhangabaú (São Paulo Metro),pt:Estação Anhangabaú,,http://www.metro.sp.gov.br/redes/vermelha/teanhangabau.shtml,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6159196 -23.5478581),Brás,station,station,BAS,subway,yes,,Metropolitano de São Paulo,Q9295692,Category:Brás train station,pt:Estação Brás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6259819 -23.5496994),Pedro II,station,station,PDS,subway,yes,,Metropolitano de São Paulo,Q7159656,Category:Pedro II (São Paulo Metro),pt:Estação Pedro II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5894536 -23.592614),Tamanduateí,station,station,TMD,,,,Companhia Paulista de Trens Metropolitanos,Q7680683,Category:Tamanduateí train station,pt:Estação Tamanduateí,,,,CPTM,CPTM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5895167 -23.5927867),Tamanduateí,station,station,TTI,subway,yes,,Metropolitano de São Paulo,Q85805078,Category:Tamanduateí (São Paulo Metro),en:Tamanduateí (São Paulo Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.596628 -23.5824859),Ipiranga,station,station,,,,,Companhia Paulista de Trens Metropolitanos,Q10275874,Category:Ipiranga train station,pt:Estação Ipiranga,,,,Companhia Paulista de Trens Metropolitanos,CPTM,yes,CPTM,Q1121227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6911827 -23.5852388),Cidade Jardim,station,station,,,,,ViaMobilidade Linhas 8 e 9,Q10275649,Category:Cidade Jardim train station,pt:Estação Cidade Jardim,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7425282 -23.5374904),Ceasa,station,station,,,,,ViaMobilidade Linhas 8 e 9,Q10275638,Category:Ceasa train station,pt:Estação Ceasa,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7328528 -23.5459874),Villa Lobos - Jaguaré,station,station,,,,,,Q10276226,Category:Villa Lobos-Jaguaré train station,pt:Estação Villa Lobos-Jaguaré,,,,Companhia Paulista de Trens Metropolitanos,,yes,CPTM,Q1121227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7118744 -23.5575973),Cidade Universitária,station,station,USP,,,,,Q10275651,Category:Cidade Universitária train station,pt:Estação Cidade Universitária,,,,Companhia Paulista de Trens Metropolitanos,,yes,CPTM,Q1121227,大学都市,Cidade Universitária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7030554 -23.5664259),Pinheiros,station,station,,,,,ViaMobilidade Linhas 8 e 9,Q85793391,Category:Pinheiros train station,en:Pinheiros (CPTM),,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
