geometry,leisure,name,addr:street,tourism,landuse,addr:city,addr:suburb,start_date,description,addr:housenumber,addr:postcode,opening_hours,operator,source,alt_name,grass,natural,surface,type
POINT (-50.1548495 -25.054726),garden,Jardim de Entrada,,,,,,,,,,,,,,,,,
POINT (-50.2056677 -25.092583),park,Pracinha da Associação,Rua Eugênia,,,,,,,,,,,,,,,,
POINT (-50.0138107 -25.2495895),park,visitor’s Center,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1740102 -25.0690982, -50.1736862 -25.0685448, -50.1727579 -25.0689877, -50.1730912 -25.0695552, -50.1740102 -25.0690982))",park,Praça Alvaro Holzmann,,,,,,,,,,,,,,,,,multipolygon
"POLYGON ((-50.1381712 -25.1368864, -50.1382694 -25.1369306, -50.1383779 -25.1369456, -50.1384862 -25.1369299, -50.1385841 -25.1368849, -50.1386649 -25.1368114, -50.1387156 -25.1367183, -50.1387309 -25.1366155, -50.1387092 -25.1365136, -50.1386527 -25.1364234, -50.1385716 -25.1363565, -50.1384717 -25.1363154, -50.1383627 -25.1363038, -50.1382551 -25.136323, -50.138159 -25.1363711, -50.1380838 -25.1364434, -50.1380353 -25.1365349, -50.138022 -25.1366315, -50.1380413 -25.1367293, -50.1380927 -25.136817, -50.1381712 -25.1368864))",park,,,,,,,,,,,,,,,,,,multipolygon
"POLYGON ((-50.1393002 -25.115256, -50.1381522 -25.1150908, -50.138053 -25.1150592, -50.1379108 -25.1150422, -50.1378062 -25.1150787, -50.1377606 -25.1151321, -50.1377258 -25.1152001, -50.1377124 -25.1152681, -50.1376909 -25.1158024, -50.1375246 -25.1169997, -50.1374951 -25.1170896, -50.1374656 -25.117143, -50.1372859 -25.1173543, -50.137243 -25.117432, -50.1372309 -25.1175182, -50.1372457 -25.1176153, -50.1373141 -25.1177283, -50.1373583 -25.1178145, -50.1373771 -25.1178813, -50.1373851 -25.1179553, -50.1372269 -25.1190433, -50.1372215 -25.1190992, -50.1372322 -25.119149, -50.1372752 -25.1191939, -50.1373248 -25.1192, -50.1388872 -25.1199091, -50.1390025 -25.1199723, -50.1390991 -25.1199771, -50.1392332 -25.1199601, -50.1403651 -25.1196274, -50.1415533 -25.119285, -50.1416364 -25.1192316, -50.1416686 -25.119183, -50.1417571 -25.1187774, -50.1418161 -25.1185127, -50.1418188 -25.1183888, -50.1418108 -25.1182941, -50.1417545 -25.118146, -50.1416042 -25.1179298, -50.1414675 -25.1178108, -50.1413012 -25.1177186, -50.140986 -25.1176086, -50.13998 -25.1173686, -50.1397907 -25.1172911, -50.1396307 -25.117167, -50.1395464 -25.116998, -50.1395084 -25.1168319, -50.1395141 -25.1166702, -50.1395556 -25.1165106, -50.1396378 -25.1163782, -50.1398251 -25.1161231, -50.1398824 -25.1160155, -50.1399176 -25.1158813, -50.1399137 -25.1157638, -50.1398808 -25.1156376, -50.1398309 -25.1155231, -50.1397542 -25.1154221, -50.1396355 -25.1153214, -50.1394827 -25.1152829, -50.1393002 -25.115256))",park,Lago de Olarias,Rua Lagoa dos Bandeirantes,,,Ponta Grossa,Olarias,,,,,24/7,,,,,,,multipolygon
"POLYGON ((-50.1774464 -25.0843052, -50.177465 -25.0843023, -50.1776378 -25.0845036, -50.1780192 -25.0851238, -50.1774574 -25.0853103, -50.1765995 -25.0855813, -50.1761889 -25.0849534, -50.1769249 -25.0845568, -50.1774267 -25.0843015, -50.1774464 -25.0843052))",park,Praça Getúlio Vargas,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1552865 -25.0975016, -50.1549595 -25.0974813, -50.1547885 -25.0974541, -50.1544266 -25.0960015, -50.1542666 -25.0954763, -50.154182 -25.0953621, -50.1540955 -25.0952841, -50.1529182 -25.0943366, -50.1528922 -25.0942673, -50.1529035 -25.0942171, -50.1529293 -25.0941872, -50.1529516 -25.0941746, -50.1529738 -25.094157, -50.1530054 -25.0941466, -50.1538094 -25.0942287, -50.1554037 -25.0944293, -50.1557642 -25.0944836, -50.1556798 -25.0952696, -50.155531 -25.0959908, -50.1552865 -25.0975016))",park,Parque Ambiental Governador Manoel Ribas,,attraction,,,,,,,,,,,,,,,
"POLYGON ((-50.1607668 -25.0932477, -50.1607447 -25.0933086, -50.1607429 -25.0933608, -50.1606888 -25.0935817, -50.1606597 -25.0937697, -50.1605835 -25.0941346, -50.1602101 -25.0940878, -50.1598275 -25.0940272, -50.159642 -25.0940591, -50.1592193 -25.0941529, -50.1591277 -25.0940952, -50.1592468 -25.0931045, -50.1599447 -25.0931371, -50.1607668 -25.0932477))",park,Praça Barão do Rio Branco,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1748113 -25.1007744, -50.1745579 -25.1017448, -50.1738323 -25.1015626, -50.1739577 -25.1011005, -50.1740965 -25.1006093, -50.1748113 -25.1007744))",,,,,recreation_ground,,,,,,,,,,,,,,
"POLYGON ((-50.1593233 -25.097299, -50.1592879 -25.0976207, -50.1592495 -25.0979261, -50.1589399 -25.0978918, -50.1586206 -25.0978492, -50.1586727 -25.0975522, -50.1587203 -25.0972427, -50.1590366 -25.0972754, -50.1593233 -25.097299))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1931547 -25.0795443, -50.1938482 -25.0794013, -50.1938455 -25.0795307, -50.1937726 -25.0796633, -50.1936193 -25.0798554, -50.1933958 -25.079972, -50.1931547 -25.0795443))",,Praça Ernani Coimbra,,,recreation_ground,,,,,,,,,,,,,,
"POLYGON ((-50.1631755 -25.0944912, -50.1623098 -25.0944106, -50.1621816 -25.0952744, -50.1629771 -25.0953789, -50.1631755 -25.0944912))",park,Praça Barão de Guaraúna,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1067466 -25.0894748, -50.1067197 -25.0895226, -50.1066772 -25.08956, -50.1066237 -25.0895828, -50.1065648 -25.0895886, -50.1065071 -25.0895768, -50.1064567 -25.0895487, -50.1064191 -25.0895072, -50.1063984 -25.089457, -50.1063969 -25.0894034, -50.1064146 -25.0893522, -50.1064497 -25.0893091, -50.1064984 -25.0892786, -50.1065554 -25.0892641, -50.1066145 -25.0892671, -50.1066694 -25.0892873, -50.106714 -25.0893226, -50.1067435 -25.0893691, -50.1067548 -25.0894217, -50.1067466 -25.0894748))",park,,,,,,,,,,,,,,,,,,
