geometry,direction,highway,leisure,natural,access,name,addr:housenumber,addr:street,description,fee,tourism,garden:type,addr:city,gtfs_id,network:short,public_transport:version,route_ref,wheelchair,garden:style,addr:postcode,addr:suburb,opening_hours,operator,operator:type,dog,nohousenumber,park:type,short_name,note,old_name,place,wikidata,wikimedia_commons,wikipedia,barrier,related_law,start_date,surface,internet_access,internet_access:fee,internet_access:operator,operator:wikidata,ownership,phone,website,grass,landuse,name:pt,layer,alt_name,contact:phone,contact:website,official_name,GNS:id,name:en,name:es,source,man_made,contact:email,contact:facebook,contact:twitter,contact:youtube,loc_name,opening_hours:covid19,name:it,name:ja,name:tr,wikipedia:pt,amenity,community_centre,footway,hotspot,toilets:wheelchair,tree,sport,park_type,addr:country,animal,name:etymology:wikidata,foot,is_in:city,is_in:country,is_in:country_code,is_in:iso_3166_2,name:ar,name:fr,name:id,name:ja-Hira,name:ko,name:ru,name:vi,name:zh,wikipedia:en,ele,square,club,location,substation,addr:state,denomination,diocese,email,heritage,heritage:operator,historic,iphan:classification,iphan:inscription_date,iphan:status,iphan:tombo,monastery:type,ref:iphan,religion,parking,owner,owner:wikidata,check_date:opening_hours,disused:garden:type,disused:leisure,postal_code,smoking,check_date,boundary,governance_type,protect_class,protection_title,source:name,addr:full,fax,height,lit,fixme,building,shop,toilets,area:highway,lg_nome,lg_tipo,lg_prep,lg_titulo,level,grassland,official_name:en,park_ride,junction,park,fence_type,related_law:url,abandoned,leaf_type,noname,addr:district,area,width,leaf_cycle,plant,plants,urban,denotation,architect,fitness_station,ruins,heating,proposed:landuse,type,bicycle,horse,name:etymology,old_website,site,traffic_calming,note:2,playground
POINT (-46.6809469 -23.5685783),anticlockwise,mini_roundabout,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6814111 -23.5682951),anticlockwise,mini_roundabout,garden,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6840605 -23.5686436),anticlockwise,mini_roundabout,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6321028 -23.56788),,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6160815 -23.6171272),,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7081821 -23.6787026),,,garden,,permissive,Jardim do Queen Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6880149 -23.5600897),,,garden,,yes,Zebra Car,181,Rua Padre João Gonçalves,Veiculo Abandonado transformado em jardim e pintado de zebra,no,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5974505 -23.5393771),,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6963481 -23.5677886),,,garden,,,Jardim de Chuva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5224269 -23.5527089),,,garden,,yes,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
