geometry,amenity,name,operator,operator:wikidata,landuse,military,operator:short,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,website,addr:suburb,check_date,wheelchair,note,phone,police,seasonal,information,tourism,name:pt,addr:country,addr:state,short_name,entrance,email,fax,level,nohousenumber,source,start_date,operator:en,operator:pt,operator:wikipedia,description,alt_name,building,layer,building:levels,height,contact:phone,contact:website,barrier,roof:colour,roof:shape,office,inscription,min_height,addr:place,smoking,name:en,disused:government,disused:office,old_name,ele,fixme,payment:account_cards,payment:american_express,payment:amex,payment:cards,payment:cheque,payment:coins,payment:credit_cards,payment:debit_cards,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,wikidata,wikipedia,operator:wikimedia_commons,payment:cash,payment:contactless,payment:cryptocurrencies,access,leisure,wikimedia_commons,area,operator:type,addr:district,lit,surface,type,official_name,loc_name
POINT (-46.5646107 -23.5398575),fire_station,Corpo de Bombeiros - 3º GB,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4983227 -23.5101097),police,24º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7045382 -23.5096546),police,Policia Militar,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7308134 -23.5387287),police,91o. Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6502774 -23.5393231),police,Ponto Policia Militar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5861658 -23.5358634),fire_station,3º Grupamento de Bombeiros,Secretaria da Segurança Publica do Estado de São Paulo,,,,,São Paulo,2725,03063-000,Avenida Celso Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6343196 -23.556997),police,1ª Delegacia de Polícia,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5532079 -23.589587),police,42ª DP,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5227739 -23.6020031),police,19º BPM/M,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5681963 -23.5893274),police,21º BPM/M - 4ª Cia PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
