preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
2300000.0,Rua João Silvio de Lara Machado,"Sobrado para comprar com 354 m², 4 quartos, 5 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",4.0,5.0,354.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-mobiliado-jardim-carvalho-ponta-grossa-pr-354m2-id-2744309367/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,2.0,Jardim Carvalho,Sobrado,6497.175141242938,"Rua João Silvio de Lara Machado, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0224429,-50.1209782,rua_bairro
2994975.0,Rua Visconde de Baraúna,"Lote/Terreno para comprar com 3524 m² emJardim Carvalho, Ponta Grossa",,,3524.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-pr-3524m2-id-2846848168/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Jardim Carvalho,Lote/Terreno,849.8793984108967,"Jardim Carvalho, Ponta Grossa, PR, Brasil",,,falhou
310000.0,Rua Jaguapitã,"Lote/Terreno para comprar com 40 m² emBoa Vista, Ponta Grossa",,,40.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-boa-vista-ponta-grossa-pr-40m2-id-2861561958/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Boa Vista,Lote/Terreno,7750.0,"Rua Jaguapitã, Boa Vista, Ponta Grossa, PR, Brasil",-25.0673835,-50.1775961,rua_bairro
350000.0,Rua Luiz Migdalski,"Casa de condomínio para comprar com 165 m², 4 quartos, 3 banheiros emEstrela, Ponta Grossa",4.0,3.0,165.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-churrasqueira-estrela-ponta-grossa-165m2-id-2866908876/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Estrela,Casa de condomínio,2121.212121212121,"Rua Luiz Migdalski, Estrela, Ponta Grossa, PR, Brasil",-25.1074019,-50.1748497,rua_bairro
202696.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2826793022/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Contorno,Lote/Terreno,1013.48,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
340000.0,Rua Capitão Goes de Moraes,"Casa de condomínio para comprar com 80 m², 3 quartos, 2 banheiros, 1 vaga emOficinas, Ponta Grossa",3.0,2.0,80.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-oficinas-ponta-grossa-80m2-id-2866552961/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,1.0,Oficinas,Casa de condomínio,4250.0,"Rua Capitão Goes de Moraes, Oficinas, Ponta Grossa, PR, Brasil",-25.1132489,-50.1546654,rua_bairro
145000.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2857545555/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Contorno,Lote/Terreno,725.0,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
145000.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2857545556/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Contorno,Lote/Terreno,725.0,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
360556.0,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 310 m² emJardim Carvalho, Ponta Grossa",,,310.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-310m2-id-2825649126/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Jardim Carvalho,Lote/Terreno,1163.0838709677419,"Avenida Monteiro Lobato, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770177,-50.154814,rua_bairro
347043.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 318 m² emContorno, Ponta Grossa",,,318.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-318m2-id-2825645790/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Contorno,Lote/Terreno,1091.3301886792453,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
202696.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2826514226/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Contorno,Lote/Terreno,1013.48,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
342795.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 300 m² emContorno, Ponta Grossa",,,300.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-300m2-id-2823112719/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Contorno,Lote/Terreno,1142.65,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
219852.0,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 200 m² emJardim Carvalho, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-200m2-id-2825647168/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Jardim Carvalho,Lote/Terreno,1099.26,"Avenida Monteiro Lobato, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770177,-50.154814,rua_bairro
218094.0,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 200 m² emJardim Carvalho, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-200m2-id-2825646797/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Jardim Carvalho,Lote/Terreno,1090.47,"Avenida Monteiro Lobato, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770177,-50.154814,rua_bairro
225000.0,Rua Santa Amélia,"Lote/Terreno para comprar com 420 m² emOlarias, Ponta Grossa",,,420.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-olarias-ponta-grossa-420m2-id-2864961577/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42,,Olarias,Lote/Terreno,535.7142857142857,"Rua Santa Amélia, Olarias, Ponta Grossa, PR, Brasil",-25.1115011,-50.1342249,rua_bairro
