preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
14000.0,2400.0,835.0,,"Apartamento para alugar com 190 m², 3 quartos, 3 banheiros, 2 vagas emItaim Bibi, São Paulo",3.0,3,190.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-academia-itaim-bibi-zona-sul-sao-paulo-sp-190m2-id-2874420985/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,2.0,Itaim Bibi,Apartamento,73.6842105263158,"Itaim Bibi, São Paulo, SP, Brasil",,,falhou
21000.0,3800.0,2200.0,Avenida Roque Petroni Júnior,"Apartamento para alugar com 197 m², 3 quartos, 5 banheiros, 3 vagas emJardim das Acácias, São Paulo",3.0,5,197.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-brooklin-zona-sul-sao-paulo-sp-197m2-id-2854535021/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,3.0,Jardim das Acácias,Apartamento,106.5989847715736,"Jardim das Acácias, São Paulo, SP, Brasil",,,falhou
7500.0,,,,"Sobrado para alugar com 400 m², 5 quartos, 6 banheiros, 1 vaga emVila Cavaton, São Paulo",5.0,6,400.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-5-quartos-mobiliado-freguesia-do-o-zona-norte-sao-paulo-sp-400m2-id-2856129830/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Vila Cavaton,Sobrado,18.75,"Vila Cavaton, São Paulo, SP, Brasil",,,falhou
1400.0,,100.0,Avenida Imirim,"Apartamento para alugar com 45 m², 2 quartos, 2 banheiros emImirim, São Paulo",2.0,2,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-imirim-sao-paulo-45m2-id-2874853129/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,,Imirim,Apartamento,31.11111111111111,"Avenida Imirim, Imirim, São Paulo, SP, Brasil",-23.4963801,-46.6370371,rua_bairro
4500.0,1050.0,350.0,Alameda dos Aicás,"Apartamento para alugar com 62 m², 2 quartos, 1 banheiro, 1 vaga emIndianópolis, São Paulo",2.0,1,62.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-indianopolis-sao-paulo-62m2-id-2872606316/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Indianópolis,Apartamento,72.58064516129032,"Alameda dos Aicás, Indianópolis, São Paulo, SP, Brasil",-23.6102091,-46.659335,rua_bairro
2250.0,267.0,,Rua Doutor Bento Teobaldo Ferraz,"Apartamento para alugar com 30 m², 1 quarto, 1 banheiro emVárzea da Barra Funda, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-churrasqueira-varzea-da-barra-funda-sao-paulo-30m2-id-2874703721/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,,Várzea da Barra Funda,Apartamento,75.0,"Várzea da Barra Funda, São Paulo, SP, Brasil",,,falhou
1800.0,365.0,,Rua Intendência,"Apartamento para alugar com 43 m², 2 quartos, 1 banheiro emBrás, São Paulo",2.0,1,43.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-bras-sao-paulo-43m2-id-2874827874/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,,Brás,Apartamento,41.86046511627907,"Brás, São Paulo, SP, Brasil",,,falhou
3891.0,663.0,96.0,Praça Júlio Mesquita,"Apartamento para alugar com 48 m², 1 quarto, 1 banheiro, 1 vaga emSanta Efigênia, São Paulo",1.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-santa-efigenia-sao-paulo-48m2-id-2874635425/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Santa Efigênia,Apartamento,81.0625,"Santa Efigênia, São Paulo, SP, Brasil",,,falhou
2800.0,1100.0,70.0,,"Apartamento para alugar com 50 m², 2 quartos, 2 banheiros, 1 vaga emVila Maria, São Paulo",2.0,2,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-maria-sao-paulo-50m2-id-2874646781/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Vila Maria,Apartamento,56.0,"Vila Maria, São Paulo, SP, Brasil",,,falhou
3300.0,878.0,228.0,Rua Aroaba,"Apartamento para alugar com 72 m², 2 quartos, 2 banheiros, 1 vaga emVila Leopoldina, São Paulo",2.0,2,72.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-leopoldina-sao-paulo-72m2-id-2874649977/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Vila Leopoldina,Apartamento,45.833333333333336,"Rua Aroaba, Vila Leopoldina, São Paulo, SP, Brasil",-23.5340278,-46.731179,rua_bairro
1300.0,,104.0,,"Apartamento para alugar com 45 m², 1 quarto, 1 banheiro emVila Ema, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-ema-sao-paulo-45m2-id-2874701468/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,,Vila Ema,Apartamento,28.88888888888889,"Vila Ema, São Paulo, SP, Brasil",,,falhou
4800.0,827.0,322.0,,"Apartamento para alugar com 84 m², 3 quartos, 2 banheiros, 2 vagas emParque Reboucas, São Paulo",3.0,2,84.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-parque-reboucas-sao-paulo-84m2-id-2874676732/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,2.0,Parque Reboucas,Apartamento,57.142857142857146,"Parque Reboucas, São Paulo, SP, Brasil",,,falhou
4100.0,,845.0,Rua Caminha de Amorim,"Sobrado para alugar com 150 m², 3 quartos, 4 banheiros, 2 vagas emVila Madalena, São Paulo",3.0,4,150.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-com-cozinha-grande-vila-madalena-sao-paulo-150m2-id-2874822976/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,2.0,Vila Madalena,Sobrado,27.333333333333332,"Vila Madalena, São Paulo, SP, Brasil",,,falhou
1800.0,511.0,,Rua Doutor Ruy de Azevedo Sodré,"Apartamento para alugar com 52 m², 2 quartos, 1 banheiro, 1 vaga emVila Santa Catarina, São Paulo",2.0,1,52.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-vila-santa-catarina-sao-paulo-52m2-id-2802186538/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Vila Santa Catarina,Apartamento,34.61538461538461,"Vila Santa Catarina, São Paulo, SP, Brasil",,,falhou
2100.0,,113.0,Rua Doutor Zuquim,"Apartamento para alugar com 38 m², 1 quarto, 1 banheiro emSantana, São Paulo",1.0,1,38.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-jardim-santana-sao-paulo-38m2-id-2874687579/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,,Santana,Apartamento,55.26315789473684,"Rua Doutor Zuquim, Santana, São Paulo, SP, Brasil",-23.4968723,-46.6220169,rua_bairro
1500.0,700.0,,Rua Ester Samara,"Apartamento para alugar com 50 m², 2 quartos, 1 banheiro, 1 vaga emJardim Cláudia, São Paulo",2.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-jardim-claudia-sao-paulo-50m2-id-2874809179/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Jardim Cláudia,Apartamento,30.0,"Jardim Cláudia, São Paulo, SP, Brasil",,,falhou
4200.0,,180.0,Rua Casimiro de Abreu,"Casa para alugar com 124 m², 2 quartos, 2 banheiros, 1 vaga emVila Congonhas, São Paulo",2.0,2,124.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-armario-de-cozinha-vila-congonhas-sao-paulo-124m2-id-2874735735/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Vila Congonhas,Casa,33.87096774193548,"Vila Congonhas, São Paulo, SP, Brasil",,,falhou
3250.0,800.0,50.0,Avenida Miruna,"Flat para alugar com 37 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,37.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-37m2-id-2853404235/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Indianópolis,Flat,87.83783783783784,"Avenida Miruna, Indianópolis, São Paulo, SP, Brasil",-23.6144532,-46.6618342,rua_bairro
3350.0,977.0,173.0,Avenida Rouxinol,"Apartamento para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-indianopolis-sao-paulo-40m2-id-2873972128/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Indianópolis,Apartamento,83.75,"Avenida Rouxinol, Indianópolis, São Paulo, SP, Brasil",-23.6067697,-46.6662101,rua_bairro
8000.0,1590.0,595.0,Rua Estado de Israel,"Apartamento para alugar com 95 m², 2 quartos, 3 banheiros, 2 vagas emVila Clementino, São Paulo",2.0,3,95.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-vila-clementino-sao-paulo-95m2-id-2874643477/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,2.0,Vila Clementino,Apartamento,84.21052631578948,"Rua Estado de Israel, Vila Clementino, São Paulo, SP, Brasil",-23.5939191,-46.6496062,rua_bairro
2300.0,450.0,,Rua Guaicurus,"Apartamento para alugar com 31 m², 1 quarto, 1 banheiro emÁgua Branca, São Paulo",1.0,1,31.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-agua-branca-sao-paulo-31m2-id-2874619584/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,,Água Branca,Apartamento,74.19354838709677,"Rua Guaicurus, Água Branca, São Paulo, SP, Brasil",-23.5221258,-46.6971404,rua_bairro
4000.0,1400.0,200.0,Avenida Ibijaú,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emMoema, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-moema-sao-paulo-40m2-id-2776424320/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Moema,Flat,100.0,"Avenida Ibijaú, Moema, São Paulo, SP, Brasil",-23.605575,-46.6659696,rua_bairro
3750.0,952.0,75.0,Rua Monte Caseros,"Apartamento para alugar com 68 m², 3 quartos, 2 banheiros, 2 vagas emVila Gomes, São Paulo",3.0,2,68.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-vila-gomes-sao-paulo-68m2-id-2874626082/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,2.0,Vila Gomes,Apartamento,55.14705882352941,"Vila Gomes, São Paulo, SP, Brasil",,,falhou
3000.0,800.0,15.0,Rua Orfanato,"Apartamento para alugar com 65 m², 2 quartos, 1 banheiro, 1 vaga emVila Prudente, São Paulo",2.0,1,65.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-prudente-sao-paulo-65m2-id-2858085955/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49,1.0,Vila Prudente,Apartamento,46.15384615384615,"Rua Orfanato, Vila Prudente, São Paulo, SP, Brasil",-23.577958,-46.5773727,rua_bairro
