endereco_geo,lat,lon
"Avenida Roque Petroni Júnior, Jardim das Acácias, São Paulo, SP, Brasil",,
"Avenida Imirim, Imirim, São Paulo, SP, Brasil",-23.4963801,-46.6370371
"Alameda dos Aicás, Indianópolis, São Paulo, SP, Brasil",-23.6102091,-46.659335
"Rua Doutor Bento Teobaldo Ferraz, Várzea da Barra Funda, São Paulo, SP, Brasil",,
"Rua Intendência, Brás, São Paulo, SP, Brasil",,
"Praça Júlio Mesquita, Santa Efigênia, São Paulo, SP, Brasil",,
"Rua Aroaba, Vila Leopoldina, São Paulo, SP, Brasil",-23.5340278,-46.731179
"Rua Caminha de Amorim, Vila Madalena, São Paulo, SP, Brasil",,
"Rua Doutor Ruy de Azevedo Sodré, Vila Santa Catarina, São Paulo, SP, Brasil",,
"Rua Doutor Zuquim, Santana, São Paulo, SP, Brasil",-23.4968723,-46.6220169
"Rua Ester Samara, Jardim Cláudia, São Paulo, SP, Brasil",,
"Rua Casimiro de Abreu, Vila Congonhas, São Paulo, SP, Brasil",,
"Avenida Miruna, Indianópolis, São Paulo, SP, Brasil",-23.6144532,-46.6618342
"Avenida Rouxinol, Indianópolis, São Paulo, SP, Brasil",-23.6067697,-46.6662101
"Rua Estado de Israel, Vila Clementino, São Paulo, SP, Brasil",-23.5939191,-46.6496062
"Rua Guaicurus, Água Branca, São Paulo, SP, Brasil",-23.5221258,-46.6971404
"Avenida Ibijaú, Moema, São Paulo, SP, Brasil",-23.605575,-46.6659696
"Rua Monte Caseros, Vila Gomes, São Paulo, SP, Brasil",,
"Rua Orfanato, Vila Prudente, São Paulo, SP, Brasil",-23.577958,-46.5773727
"Rua Joaquim Floriano, Itaim Bibi, São Paulo, SP, Brasil",-23.5837269,-46.6715163
"Rua Guararapes, Brooklin Paulista, São Paulo, SP, Brasil",,
"Rua Miguel Soares Ferreira Júnior, Vila Leonor, São Paulo, SP, Brasil",,
"Rua José Alves Cunha Lima, Vila Butantã, São Paulo, SP, Brasil",,
"Rua Diogo Jácome, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Brás Cardoso, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua do Gama, Jardim Luzitânia, São Paulo, SP, Brasil",,
"Rua França Pinto, Vila Mariana, São Paulo, SP, Brasil",-23.5876324,-46.6420424
"Rua Chilon, Vila Olímpia, São Paulo, SP, Brasil",-23.5941792,-46.6820409
"Alameda Campinas, Jardim Paulista, São Paulo, SP, Brasil",-23.5649359,-46.6522853
"Avenida Moema, Moema, São Paulo, SP, Brasil",-23.605624,-46.657263
"Rua Tuim, Vila Uberabinha, São Paulo, SP, Brasil",,
"Rua Carlos Sampaio, Bela Vista, São Paulo, SP, Brasil",-23.5678014,-46.6463745
"Rua Itapeva, Bela Vista, São Paulo, SP, Brasil",-23.5622762,-46.6546908
"Rua Jericó, Sumarezinho, São Paulo, SP, Brasil",-23.55133,-46.6894088
"Rua Ribeiro do Vale, Brooklin Paulista, São Paulo, SP, Brasil",,
"Rua Cincinato Braga, Bela Vista, São Paulo, SP, Brasil",-23.5672124,-46.647412
"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP, Brasil",-23.5678394,-46.7003608
"Rua Doutor Fadlo Haidar, Vila Olímpia, São Paulo, SP, Brasil",,
"Avenida Engenheiro Armando de Arruda Pereira, Vila do Encontro, São Paulo, SP, Brasil",-23.6533381,-46.6376763
"Rua Urussuí, Itaim Bibi, São Paulo, SP, Brasil",-23.5860767,-46.6763476
"Avenida Aratãs, Indianópolis, São Paulo, SP, Brasil",-23.6079622,-46.6647288
"Rua Juquis, Indianópolis, São Paulo, SP, Brasil",-23.6079559,-46.6647392
"Rua Doutor Penaforte Mendes, Bela Vista, São Paulo, SP, Brasil",-23.5545964,-46.651712
"Rua Leopoldo Couto Magalhães Júnior, Itaim Bibi, São Paulo, SP, Brasil",-23.5892049,-46.6839228
"Rua Sansão Alves dos Santos, Cidade Monções, São Paulo, SP, Brasil",,
"Rua Alvorada, Vila Olímpia, São Paulo, SP, Brasil",-23.6007823,-46.6822431
"Rua Luís Correia de Melo, Vila Cruzeiro, São Paulo, SP, Brasil",,
"Rua Joaquim Guarani, Jardim das Acácias, São Paulo, SP, Brasil",,
"Avenida Doutor Cardoso de Melo, Vila Olímpia, São Paulo, SP, Brasil",-23.5965974,-46.6887775
"Rua Pamplona, Jardim Paulista, São Paulo, SP, Brasil",-23.5650896,-46.6551169
"Rua Flórida, Cidade Monções, São Paulo, SP, Brasil",,
"Rua Aimberê, Perdizes, São Paulo, SP, Brasil",-23.5356841,-46.6802831
"Rua Barão do Triunfo, Brooklin Paulista, São Paulo, SP, Brasil",,
"Rua Marieta, Jardim América, São Paulo, SP, Brasil",,
"Rua Marcos Lopes, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Álvaro Rodrigues, Vila Cordeiro, São Paulo, SP, Brasil",,
"Rua Bela Cintra, Consolação, São Paulo, SP, Brasil",-23.5544191,-46.6595673
"Rua Gabriel de Lara, Vila Cordeiro, São Paulo, SP, Brasil",,
"Rua Amauri, Jardim Europa, São Paulo, SP, Brasil",-23.5800118,-46.6815317
"Alameda Casa Branca, Jardim Paulista, São Paulo, SP, Brasil",-23.5699112,-46.6639666
"Rua Balthazar da Veiga, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Avenida Jamaris, Planalto Paulista, São Paulo, SP, Brasil",-23.6105642,-46.6544598
"Alameda Ministro Rocha Azevedo, Cerqueira César, São Paulo, SP, Brasil",-23.5600482,-46.6580139
"Rua Ouro Branco, Jardim Paulista, São Paulo, SP, Brasil",-23.5713422,-46.6621957
"Rua Itacema, Itaim Bibi, São Paulo, SP, Brasil",-23.5794651,-46.6732809
"Alameda dos Maracatins, Indianópolis, São Paulo, SP, Brasil",-23.6081551,-46.6618977
"Rua Doutor Paulo Vieira, Sumaré, São Paulo, SP, Brasil",-23.5436874,-46.6862983
"Rua Doutor João Clímaco Pereira, Itaim Bibi, São Paulo, SP, Brasil",-23.5897644,-46.6732365
"Rua Constantino de Sousa, Campo Belo, São Paulo, SP, Brasil",-23.6268446,-46.6824632
"Rua Gomes de Carvalho, Vila Olímpia, São Paulo, SP, Brasil",-23.5981538,-46.6829066
"Rua Haddock Lobo, Cerqueira César, São Paulo, SP, Brasil",-23.5620377,-46.6659896
"Rua Doutor Paschoal Imperatriz, Vila Gertrudes, São Paulo, SP, Brasil",,
"Rua Seridó, Jardim Europa, São Paulo, SP, Brasil",-23.582932,-46.6898418
"Rua Franz Schubert, Jardim Paulistano, São Paulo, SP, Brasil",,
"Rua Melo Alves, Cerqueira César, São Paulo, SP, Brasil",-23.5619651,-46.6714686
"Rua Doutor Tomás Carvalhal, Paraíso, São Paulo, SP, Brasil",-23.5755758,-46.6423544
"Rua dos Franceses, Morro dos Ingleses, São Paulo, SP, Brasil",-23.5598561,-46.6476782
"Rua Airosa Galvão, Água Branca, São Paulo, SP, Brasil",,
"Alameda Franca, Jardim Paulista, São Paulo, SP, Brasil",-23.5648871,-46.6599652
"Rua Henri Dunant, Santo Amaro, São Paulo, SP, Brasil",-23.6329206,-46.6951551
"Rua Oscar Freire, Pinheiros, São Paulo, SP, Brasil",-23.5507537,-46.6787992
"Alameda Lorena, Jardim Paulista, São Paulo, SP, Brasil",-23.5657118,-46.6638687
"Avenida Eusébio Matoso, Pinheiros, São Paulo, SP, Brasil",-23.5719579,-46.6993232
"Rua Jesuíno Arruda, Itaim Bibi, São Paulo, SP, Brasil",-23.5820151,-46.6744995
"Rua George Ohm, Cidade Monções, São Paulo, SP, Brasil",,
"Rua Guarará, Jardim Paulista, São Paulo, SP, Brasil",-23.5726734,-46.6584631
"Alameda Jauaperi, Moema, São Paulo, SP, Brasil",-23.6012027,-46.663643
"Avenida Ibirapuera, Indianópolis, São Paulo, SP, Brasil",-23.6037245,-46.6622258
"Rua Santa Justina, Vila Olímpia, São Paulo, SP, Brasil",-23.5945421,-46.673837
"Alameda Jaú, Jardim Paulista, São Paulo, SP, Brasil",-23.5687324,-46.6517132
"Rua Cordisburgo, Jardim Leonor, São Paulo, SP, Brasil",,
"Rua Tenente Negrão, Itaim Bibi, São Paulo, SP, Brasil",-23.5852244,-46.6712926
"Alameda Raja Gabaglia, Vila Olímpia, São Paulo, SP, Brasil",-23.5947924,-46.6887796
"Rua Pablo Picasso, Água Branca, São Paulo, SP, Brasil",,
"Rua Ásia, Cerqueira César, São Paulo, SP, Brasil",,
"Rua Vicente Leporace, Campo Belo, São Paulo, SP, Brasil",-23.6216497,-46.6671293
"Rua Cristiano Viana, Cerqueira César, São Paulo, SP, Brasil",,
"Avenida Jandira, Indianópolis, São Paulo, SP, Brasil",-23.6111321,-46.6573051
"Alameda dos Arapanés, Moema, São Paulo, SP, Brasil",-23.6075409,-46.6678523
"Rua Osório Duque Estrada, Paraíso, São Paulo, SP, Brasil",-22.7522647,-47.6413619
"Rua Coronel Artur de Paula Ferreira, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Professor Atílio Innocenti, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Doutor Manuel Carlos de Figueiredo Ferraz, Jardim Morumbi, São Paulo, SP, Brasil",,
"Rua Salvador de Mendonça, Jardim Europa, São Paulo, SP, Brasil",-23.5773709,-46.6854278
"Rua Cancioneiro Popular, Santo Amaro, São Paulo, SP, Brasil",-23.6290124,-46.6939727
"Avenida Rubem Berta, Indianópolis, São Paulo, SP, Brasil",-23.6052672,-46.6516126
"Avenida Macuco, Moema, São Paulo, SP, Brasil",-23.6043822,-46.6657273
"Rua Ministro Luiz Gallotti, Vila Cordeiro, São Paulo, SP, Brasil",,
"Rua da Consolação, Cerqueira César, São Paulo, SP, Brasil",-23.560858,-46.6684232
"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo, SP, Brasil",-23.5820241,-46.6791807
"Rua Doutor Rubens Gomes Bueno, Várzea de Baixo, São Paulo, SP, Brasil",,
