id,type,area,bathrooms,bedrooms,suites,parkingSpaces,amenities,installations,totalCost,rent,iptuPlusCondominium,salePrice,address,city,neighbourhood,regionName,isSecondaryHouse,coverImage,imageList,forRent,forSale,isPrimaryMarket,visitStatus,isFurnished,shortRentDescription,lat_viewport,lon_viewport,activeSpecialConditions,yield,yieldStrategy,categories
895045269,Casa,278.0,5.0,4.0,3.0,2.0,"['VISTA_LIVRE', 'QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS', 'ARMARIOS_NOS_BANHEIROS', 'BOX', 'JARDIM', 'SOL_DA_TARDE', 'AREA_DE_SERVICO', 'PODE_TER_ANIMAIS_DE_ESTIMACAO', 'TANQUE', 'VARANDA', 'RUA_SILENCIOSA', 'QUINTAL', 'ARMARIOS_EMBUTIDOS_NO_QUARTO', 'SOL_DA_MANHA', 'SOMENTE_UMA_CASA_NO_TERRENO', 'ARMARIOS_NA_COZINHA', 'LUMINOSIDADE_NATURAL']","['CORRIMAO', 'AREA_VERDE', 'VAGA_DE_GARAGEM_ACESSIVEL']",7976,6900,783,0.0,Rua Célso Mantovani,São Paulo,Parque do Castelo,Cidade Dutra,False,original895045269-503.2168407782327IMG9040.JPG,"['895045269-503.2168407782327IMG9040.JPG', '895045269-410.310845857075IMG9039.JPG', '895045269-575.2716424966067IMG9041.JPG', '895045269-880.2258019036574IMG9042.JPG', '895045269-343.16603440231506IMG9043.JPG', '895045269-670.9155310917728IMG9044.JPG', '895045269-273.31664983839596IMG9045.JPG', '895045269-602.9993734299984IMG9046.JPG', '895045269-929.8379381549964IMG9047.JPG', '895045269-585.8092155690385IMG9048.JPG', '895045269-89.80031244056907IMG9049.JPG', '895045269-556.9147343171088IMG9050.JPG']",True,False,False,ACCEPT_NEW,False,"Casa para alugar no Parque do Castelo com 4 quartos, quintal e varanda. Aproveite esta oportunidade!",-23.75,-46.75,,,,
895326006,Casa,210.0,3.0,3.0,1.0,3.0,"['VISTA_LIVRE', 'COOKTOP', 'QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS', 'MESAS_E_CADEIRAS_DE_ESCRITORIO', 'ARMARIOS_NOS_BANHEIROS', 'AR_CONDICIONADO', 'BOX', 'AREA_DE_SERVICO', 'UTENSILIOS_DE_COZINHA', 'CHUVEIRO_A_GAS', 'PODE_TER_ANIMAIS_DE_ESTIMACAO', 'TANQUE', 'CLOSET', 'VARANDA', 'RUA_SILENCIOSA', 'QUINTAL', 'ARMARIOS_EMBUTIDOS_NO_QUARTO', 'SOL_DA_MANHA', 'SOMENTE_UMA_CASA_NO_TERRENO', 'ARMARIOS_NA_COZINHA', 'LUMINOSIDADE_NATURAL']","['CORRIMAO', 'VAGA_DE_GARAGEM_ACESSIVEL', 'CHURRASQUEIRA']",17089,16000,410,0.0,Rua Antônio Machado Sant8217anna,São Paulo,Parque Esmeralda,Cidade Dutra,False,original895326006-878.3865988543771IMG9622.JPG,"['895326006-878.3865988543771IMG9622.JPG', '895326006-860.5063680012671IMG9623.JPG', '895326006-205.4744518534305IMG9624.JPG', '895326006-600.6963304801279IMG9625.JPG', '895326006-622.3205537439196IMG9626.JPG', '895326006-193.90857555120766IMG9627.JPG', '895326006-432.103242640389IMG9629.JPG', '895326006-707.3202254162752IMG9630.JPG', '895326006-595.023523101068IMG9631.JPG', '895326006-59.28450048567946IMG9559.JPG', '895326006-306.35157345843623IMG9560.JPG', '895326006-172.97085594932483IMG9561.JPG']",True,False,False,ACCEPT_NEW,False,"Casa para aluguel no Parque Esmeralda: 3 quartos, 1 suíte, aceita pets.",-23.75,-46.75,['Exclusivity'],,,
894886337,Casa,50.0,1.0,1.0,0.0,1.0,"['VISTA_LIVRE', 'QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS', 'RUA_SILENCIOSA', 'QUINTAL', 'SOL_DA_MANHA', 'SOL_DA_TARDE', 'AREA_DE_SERVICO', 'TANQUE']",['LAVANDERIA_NO_PREDIO'],1863,1787,0,0.0,Rua Baltazar Soares,São Paulo,Cidade Dutra,Cidade Dutra,False,894886337-759.1518696768386IMG4801.JPG,"['894886337-341.65714946912016IMG4799.JPG', '894886337-614.4452863083815IMG4800.JPG', '894886337-759.1518696768386IMG4801.JPG', '894886337-53.412572204970424IMG4803.JPG', '894886337-514.6541354854004IMG4804.JPG', '894886337-319.0276142778579IMG4817.JPG', '894886337-114.67671004604641IMG4818.JPG', '894886337-751.8971249094348IMG4806.JPG', '894886337-982.3862567237029IMG4811.JPG', '894886337-468.86526306873463IMG4810.JPG', '894886337-452.7522897935964IMG4814.JPG', '894886337-235.1782652332729IMG4815.JPG']",True,False,False,ACCEPT_NEW,False,,-23.75,-46.75,,,,
894996197,Apartamento,65.0,1.0,2.0,0.0,0.0,"['QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS', 'ARMARIOS_NOS_BANHEIROS', 'BOX', 'LUMINOSIDADE_NATURAL', 'SOL_DA_TARDE', 'AREA_DE_SERVICO', 'PODE_TER_ANIMAIS_DE_ESTIMACAO', 'TANQUE']",[],2124,1660,400,280000.0,Avenida Senador Teotônio Vilela,São Paulo,Cidade Dutra,Interlagos,False,894996197-2.643271130387536720250719115210.jpg,"['894996197-224.519523982251620250719115157.jpg', '894996197-836.558502985844320250719115147.jpg', '894996197-2.643271130387536720250719115210.jpg', '894996197-24.31884840984377420250719115255.jpg', '894996197-484.799658492445320250719115218.jpg', '894996197-120.8817659638545820250719115431.jpg', '894996197-394.206461930793820250719115231.jpg', '894996197-684.564207122446120250719115243.jpg', '894996197-929.045126266598220250719115649.jpg', '894996197-266.3422507556828720250719115632.jpg', '894996197-12.71926038548554220250719115611.jpg', '894996197-390.3970647295379320250719115737.jpg']",True,True,False,ACCEPT_NEW,False,,-23.75,-46.75,['Exclusivity'],0.0047,CALCULATOR,
895128093,Casa,690.0,7.0,6.0,4.0,0.0,"['VISTA_LIVRE', 'QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS', 'ARMARIOS_NOS_BANHEIROS', 'BOX', 'JARDIM', 'SOL_DA_TARDE', 'AREA_DE_SERVICO', 'CHUVEIRO_A_GAS', 'VENTILADOR_DE_TETO', 'PODE_TER_ANIMAIS_DE_ESTIMACAO', 'TANQUE', 'VARANDA', 'RUA_SILENCIOSA', 'QUINTAL', 'SOL_DA_MANHA', 'SOMENTE_UMA_CASA_NO_TERRENO', 'LUMINOSIDADE_NATURAL']","['CORRIMAO', 'AREA_VERDE', 'LAVANDERIA_NO_PREDIO', 'VAGA_DE_GARAGEM_ACESSIVEL', 'CHURRASQUEIRA', 'PISCINA', 'SALAO_DE_JOGOS']",15165,12959,1656,2500000.0,Rua Professor Cândido Nogueira da Motta,São Paulo,Interlagos,Interlagos,False,original895128093-408.98034800221115.jpg,"['895128093-408.98034800221115.jpg', '895128093-8.22849038938866411.jpg', '895128093-448.6183512506849512.jpg', '895128093-540.401391615987913.jpg', '895128093-610.899109865681314.jpg', '895128093-845.443695031142616.jpg', '895128093-422.530545349240917.jpg', '895128093-618.802577118054618.jpg', '895128093-686.1914069955719.jpg', '895128093-968.471257589187110.jpg', '895128093-367.39949736111475111.jpg', '895128093-554.3236164488723112.jpg']",True,True,False,ACCEPT_NEW,False,"Casa para aluguel em Interlagos com 6 quartos, varanda e piscina no condomínio.",-23.75,-46.75,,0.0044,CALCULATOR,
895157733,Casa,180.0,1.0,1.0,1.0,0.0,"['VISTA_LIVRE', 'QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS', 'MICROONDAS', 'ARMARIOS_NOS_BANHEIROS', 'JARDIM', 'SOL_DA_TARDE', 'PODE_TER_ANIMAIS_DE_ESTIMACAO', 'RUA_SILENCIOSA', 'QUINTAL', 'GELADEIRA_INCLUSO', 'SOL_DA_MANHA', 'SOMENTE_UMA_CASA_NO_TERRENO', 'LUMINOSIDADE_NATURAL']","['AREA_VERDE', 'VAGA_DE_GARAGEM_ACESSIVEL', 'CHURRASQUEIRA', 'PISCINA']",9140,8000,800,1380000.0,Rua Leningrado,São Paulo,Interlagos,Interlagos,False,original895157733-33.06277125616408IMG1100.JPG,"['895157733-488.4150476186656IMG1099.JPG', '895157733-33.06277125616408IMG1100.JPG', '895157733-472.25876240139877IMG1102.JPG', '895157733-182.25910120932554IMG1103.JPG', '895157733-233.82095079341903IMG1108.JPG', '895157733-437.66146678981124IMG1110.JPG', '895157733-854.248457009365IMG1112.JPG', '895157733-642.7134876586917IMG1113.JPG', '895157733-361.3730777003011IMG1115.JPG', '895157733-496.2982498803512IMG1118.JPG', '895157733-213.15061790893765IMG1121.JPG', '895157733-708.1654197804576IMG1123.JPG']",True,True,False,ACCEPT_NEW,False,Casa para alugar em Interlagos com 1 quarto e piscina no condomínio.,-23.75,-46.75,,0.0017,CALCULATOR,
894651432,Casa,714.0,4.0,6.0,3.0,4.0,"['VISTA_LIVRE', 'ARMARIOS_NOS_BANHEIROS', 'AR_CONDICIONADO', 'BOX', 'JARDIM', 'SOL_DA_TARDE', 'AREA_DE_SERVICO', 'VENTILADOR_DE_TETO', 'TANQUE', 'VARANDA', 'RUA_SILENCIOSA', 'QUINTAL', 'ARMARIOS_EMBUTIDOS_NO_QUARTO', 'SOL_DA_MANHA', 'SOMENTE_UMA_CASA_NO_TERRENO', 'ARMARIOS_NA_COZINHA', 'LUMINOSIDADE_NATURAL']",['CHURRASQUEIRA'],25036,22000,2103,2950000.0,Rua Cláudio Daniel Rodrigues,São Paulo,Interlagos,Interlagos,False,894651432-760.57669333983420241016160257.jpg,"['894651432-233.714121156270120241016160238.jpg', '894651432-799.318167404628920241016160246.jpg', '894651432-60.062857699983120241016160250.jpg', '894651432-760.57669333983420241016160257.jpg', '894651432-894.832033902105320241016160302.jpg', '894651432-187.9688842958411220241016160309.jpg', '894651432-717.932284763299220241016160315.jpg', '894651432-628.919469958607220241016160321.jpg', '894651432-15.73263528015111820241016160326.jpg', '894651432-792.509822835155720241016155919.jpg', '894651432-472.2410922304559320241016155923.jpg', '894651432-923.458481672639420241016155926.jpg']",True,False,False,ACCEPT_NEW,False,,-23.75,-46.75,,0.0068,CALCULATOR,
894617537,Casa,226.0,2.0,3.0,0.0,2.0,"['ARMARIOS_NOS_BANHEIROS', 'QUINTAL', 'ARMARIOS_EMBUTIDOS_NO_QUARTO', 'BOX', 'SOL_DA_MANHA', 'SOMENTE_UMA_CASA_NO_TERRENO', 'LUMINOSIDADE_NATURAL', 'SOL_DA_TARDE', 'AREA_DE_SERVICO', 'VENTILADOR_DE_TETO', 'TANQUE']",[],5212,5000,0,600000.0,Rua Augusto Correia,São Paulo,Jardim Cruzeiro,Cidade Dutra,False,894617537-549.0459193425835IMG4731.jpeg,"['894617537-549.0459193425835IMG4731.jpeg', '894617537-52.56901152967342IMG4732.jpeg', '894617537-495.3068189805503IMG4733.jpeg', '894617537-4.323326621338608IMG4734.jpeg', '894617537-233.72085899324014IMG4742.jpeg', '894617537-62.8938258539643IMG4741.jpeg', '894617537-274.00357233943316IMG4743.jpeg', '894617537-297.8699112952752IMG4744.jpeg', '894617537-985.8170706415415IMG4750.jpeg', '894617537-475.1728943833257IMG4751.jpeg', '894617537-232.10532493381507IMG4752.jpeg', '894617537-791.8431822574419IMG4753.jpeg']",True,True,False,ACCEPT_NEW,False,,-23.75,-46.75,,0.0058,CALCULATOR,
895000336,Casa,50.0,1.0,1.0,0.0,0.0,"['RUA_SILENCIOSA', 'AREA_DE_SERVICO', 'PODE_TER_ANIMAIS_DE_ESTIMACAO', 'TANQUE']",[],1814,1740,0,200000.0,Rua Cristina de Vasconcelos Ceccato,São Paulo,Jardim Sao Nicolau,Interlagos,False,895000336-78.7485499707317712.jpg,"['895000336-997.676700741331614.jpg', '895000336-547.377013655046111.jpg', '895000336-78.7485499707317712.jpg', '895000336-312.995292886082613.jpg', '895000336-337.039815590973618.jpg', '895000336-254.019622449173215.jpg', '895000336-514.702174139787916.jpg', '895000336-945.891727387173917.jpg', '895000336-270.27688840776875112.jpg', '895000336-151.9341566450260619.jpg', '895000336-632.6203915501666110.jpg', '895000336-853.1123622145615111.jpg']",True,True,False,ACCEPT_NEW,False,,-23.75,-46.75,['Exclusivity'],0.0083,CALCULATOR,
895303291,Casa,1000.0,1.0,2.0,0.0,3.0,['PODE_TER_ANIMAIS_DE_ESTIMACAO'],[],9174,8000,834,0.0,Rua Naima Brein Siufi,São Paulo,Jardim Represa,Cidade Dutra,False,original895303291-26.12235420584197image.jpg,"['895303291-26.12235420584197image.jpg', '895303291-381.81911446933225image.jpg', '895303291-275.66527407969346image.jpg', '895303291-433.2040169176152image.jpg', '895303291-588.7920412612497image.jpg', '895303291-194.81460965662123image.jpg', '895303291-787.7672205369845image.jpg', '895303291-51.185568511615706image.jpg', '895303291-979.4087765799728image.jpg', '895303291-374.7855208362848image.jpg', '895303291-604.6629122683036image.jpg', '895303291-97.63115684581692image.jpg']",True,False,False,ACCEPT_NEW,False,,-23.75,-46.75,,,,
