endereco_geo,lat,lon
"Rua João Silvio de Lara Machado, Jardim Carvalho, Ponta Grossa, PR, Brasil",,
"Rua Visconde de Baraúna, Jardim Carvalho, Ponta Grossa, PR, Brasil",,
"Rua Jaguapitã, Boa Vista, Ponta Grossa, PR, Brasil",-25.0673835,-50.1775961
"Rua Luiz Migdalski, Estrela, Ponta Grossa, PR, Brasil",-25.1074019,-50.1748497
"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034
"Rua Capitão Goes de Moraes, Oficinas, Ponta Grossa, PR, Brasil",-25.1132489,-50.1546654
"Avenida Monteiro Lobato, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770177,-50.154814
"Rua Santa Amélia, Olarias, Ponta Grossa, PR, Brasil",-25.1115011,-50.1342249
"Rua Espírito Santo, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0836051,-50.1745168
"Rua Cordovil do Merithy, Oficinas, Ponta Grossa, PR, Brasil",,
"Rua Sebastião Paraná, Ronda, Ponta Grossa, PR, Brasil",-25.1004044,-50.1764527
"Rua Recanto dos Pássaros, Chapada, Ponta Grossa, PR, Brasil",,
"Rua Campina Grande do Sul, Oficinas, Ponta Grossa, PR, Brasil",-25.1285881,-50.148961
"Rua Evaristo da Veiga, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0830573,-50.1508374
"Rua Teixeira Mendes, Uvaranas, Ponta Grossa, PR, Brasil",-25.0941714,-50.1125256
"Rua João Cecy Filho, Uvaranas, Ponta Grossa, PR, Brasil",-25.0898059,-50.1514342
"Rua Doutor Paula Xavier, Centro, Ponta Grossa, PR, Brasil",-25.1023356,-50.161122
"Avenida União Pan-americana, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",-25.1225491,-50.1614734
"Avenida Siqueira Campos, Uvaranas, Ponta Grossa, PR, Brasil",,
"Rua Pinus, Contorno, Ponta Grossa, PR, Brasil",-25.0933977,-50.2039235
"Rua Antônio Saad, Boa Vista, Ponta Grossa, PR, Brasil",-25.0539705,-50.1513379
"Rua Arnaldo José de Moraes, Cará-cará, Ponta Grossa, PR, Brasil",-25.1286314,-50.1246861
"Rua Brasil Pinheiro, Orfãs, Ponta Grossa, PR, Brasil",-25.0856061,-50.166647
"Rua Farid Calil Hafiz, Contorno, Ponta Grossa, PR, Brasil",-25.091637,-50.2019217
"Rua Aleixo Barszcz, Uvaranas, Ponta Grossa, PR, Brasil",,
"Rua Antônio João, Orfãs, Ponta Grossa, PR, Brasil",-25.0760374,-50.1602612
"Rua Conde de Irajá, Uvaranas, Ponta Grossa, PR, Brasil",-25.1011434,-50.1019043
"Rua Valério Ronchi, Uvaranas, Ponta Grossa, PR, Brasil",-25.0814451,-50.1076673
"Rua Sinhara Natel de Paula, Orfãs, Ponta Grossa, PR, Brasil",,
"Rua Demétrio Batista, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",,
"Rua Abílio de Barros, Centro, Ponta Grossa, PR, Brasil",-25.0985401,-50.1653482
"Rua Aderly Turek, Cará-cará, Ponta Grossa, PR, Brasil",-25.1158118,-50.1203139
"Rua Independência, Centro, Ponta Grossa, PR, Brasil",-25.0886828,-50.1545918
"Rua Maria Úrsula de Abreu, Cará-cará, Ponta Grossa, PR, Brasil",-25.1078517,-50.1027563
"Rua Tenente Sady, Uvaranas, Ponta Grossa, PR, Brasil",-25.09464,-50.1302806
"Rua João Thomé, Uvaranas, Ponta Grossa, PR, Brasil",-25.0977219,-50.1225854
"Rua João Antonio Manosso, Contorno, Ponta Grossa, PR, Brasil",,
"Rua Suíça, Oficinas, Ponta Grossa, PR, Brasil",-25.1188474,-50.1446847
"Rua Coronel José Pedro de Carvalho, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0834969,-50.1809158
