preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 200.000,Rua dos Garis,"Casa para comprar com 10 m², 3 quartos, 2 banheiros emImóvel Morro Alto, Guarapuava",3.0,2.0,10.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-imovel-morro-alto-guarapuava-10m2-id-2825741531/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 345.000,,"Casa de condomínio para comprar com 87 m², 2 quartos, 2 banheiros, 1 vaga emMatinhos, Guarapuava",2.0,2.0,87.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-churrasqueira-matinhos-guarapuava-87m2-id-2829022546/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 180.000,Rua Marabá,"Casa para comprar com 42 m², 1 quarto, 1 banheiro, 3 vagas emBoqueirão, Guarapuava",1.0,1.0,42.0,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-boqueirao-guarapuava-42m2-id-2867270908/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 50.000,Rua Pedro Tereza Goes,"Lote/Terreno para comprar com 300 m² emBoqueirão, Guarapuava",,,300.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-boqueirao-guarapuava-300m2-id-2854172536/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 200.000,Rua dos Engenheiros,"Casa de condomínio para comprar com 47 m², 2 quartos, 1 banheiro, 2 vagas emImóvel Morro Alto, Guarapuava",2.0,1.0,47.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-mobiliado-imovel-morro-alto-guarapuava-47m2-id-2835330083/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 280.000,Rua Bartolomeu Bueno da Silva,"Casa para comprar com 101 m², 4 quartos, 2 banheiros, 3 vagas emPrimavera, Guarapuava",4.0,2.0,101.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-primavera-guarapuava-101m2-id-2825744628/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 350.000,Rua Vicente Machado,"Casa de condomínio para comprar com 65 m², 2 quartos, 2 banheiros, 1 vaga emDos Estados, Guarapuava",2.0,2.0,65.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-mobiliado-dos-estados-guarapuava-65m2-id-2852425918/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 320.000,Rua Romão Chimanski,"Casa para comprar com 63 m², 2 quartos, 1 banheiro emAlto Cascavel, Guarapuava",2.0,1.0,63.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-alto-cascavel-guarapuava-63m2-id-2867280682/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 350.000,Rua Itapemerim,"Casa para comprar com 121 m², 3 quartos, 2 banheiros, 1 vaga emBoqueirão, Guarapuava",3.0,2.0,121.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-boqueirao-guarapuava-121m2-id-2825741843/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 318.000,,"Casa para comprar com 91 m², 2 quartos, 2 banheiros, 2 vagas emJardim das Américas, Guarapuava",2.0,2.0,91.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-jardim-das-americas-guarapuava-91m2-id-2860309957/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 410.000,Rua Iolanda Noriler Stefanes,"Casa para comprar com 218 m², 4 quartos, 3 banheiros, 3 vagas emPrimavera, Guarapuava",4.0,3.0,218.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-cozinha-primavera-guarapuava-218m2-id-2825745215/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 430.000,Rua Francisco Demario,"Casa para comprar com 215 m², 7 quartos, 3 banheiros, 3 vagas emVila Bela, Guarapuava",7.0,3.0,215.0,https://www.zapimoveis.com.br/imovel/venda-casa-7-quartos-vila-bela-guarapuava-215m2-id-2857596660/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 665.000,Rua Maria Júlia Franciosi Gelinski,"Casa para comprar com 132 m², 3 quartos, 2 banheiros, 2 vagas emAlto Cascavel, Guarapuava",3.0,2.0,132.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-alto-cascavel-guarapuava-132m2-id-2835515406/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 240.423,,"Lote/Terreno para comprar com 2500 m², 1 quarto, 1 banheiro emColônia Vitória, Guarapuava",1.0,1.0,2500.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-1-quarto-colonia-vitoria-guarapuava-2500m2-id-2857921701/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 580.000,Rua Rio de Janeiro,"Casa para comprar com 120 m², 3 quartos, 2 banheiros, 2 vagas emDos Estados, Guarapuava",3.0,2.0,120.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-dos-estados-guarapuava-120m2-id-2865180358/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 350.000,,"Lote/Terreno para comprar com 10 m² emPalmeirinha, Guarapuava",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-palmeirinha-guarapuava-10m2-id-2825742538/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 340.164,,"Imóvel comercial para comprar com 2500 m², 1 quarto, 1 banheiro emColônia Vitória, Guarapuava",1.0,1.0,2500.0,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-colonia-vitoria-guarapuava-2500m2-id-2857996064/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 641.000,Rua Senador Pinheiro Machado,"Apartamento para comprar com 123 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Guarapuava",3.0,2.0,123.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-guarapuava-123m2-id-2825744015/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 160.000,Rua Humberto Carli,"Lote/Terreno para comprar com 300 m² emVila Carli, Guarapuava",,,300.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-vila-carli-guarapuava-300m2-id-2856671198/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
R$ 600.000,Rua Vereador Joel Vicentin,"Casa para comprar com 186 m², 4 quartos, 3 banheiros, 4 vagas emPrimavera, Guarapuava",4.0,3.0,186.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-primavera-guarapuava-186m2-id-2825742634/?source=ranking%2Crp,guarapuava,pr,2026-02-06 19:41:59
