preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 14.000,R$ 2.400,R$ 835,,"Apartamento para alugar com 190 m², 3 quartos, 3 banheiros, 2 vagas emItaim Bibi, São Paulo",3.0,3,190.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-academia-itaim-bibi-zona-sul-sao-paulo-sp-190m2-id-2874420985/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 21.000,R$ 3.800,R$ 2.200,Avenida Roque Petroni Júnior,"Apartamento para alugar com 197 m², 3 quartos, 5 banheiros, 3 vagas emJardim das Acácias, São Paulo",3.0,5,197.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-brooklin-zona-sul-sao-paulo-sp-197m2-id-2854535021/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 7.500,,,,"Sobrado para alugar com 400 m², 5 quartos, 6 banheiros, 1 vaga emVila Cavaton, São Paulo",5.0,6,400.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-5-quartos-mobiliado-freguesia-do-o-zona-norte-sao-paulo-sp-400m2-id-2856129830/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.400,,R$ 100,Avenida Imirim,"Apartamento para alugar com 45 m², 2 quartos, 2 banheiros emImirim, São Paulo",2.0,2,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-imirim-sao-paulo-45m2-id-2874853129/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.500,R$ 1.050,R$ 350,Alameda dos Aicás,"Apartamento para alugar com 62 m², 2 quartos, 1 banheiro, 1 vaga emIndianópolis, São Paulo",2.0,1,62.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-indianopolis-sao-paulo-62m2-id-2872606316/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.250,R$ 267,,Rua Doutor Bento Teobaldo Ferraz,"Apartamento para alugar com 30 m², 1 quarto, 1 banheiro emVárzea da Barra Funda, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-churrasqueira-varzea-da-barra-funda-sao-paulo-30m2-id-2874703721/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.800,R$ 365,,Rua Intendência,"Apartamento para alugar com 43 m², 2 quartos, 1 banheiro emBrás, São Paulo",2.0,1,43.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-bras-sao-paulo-43m2-id-2874827874/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.891,R$ 663,R$ 96,Praça Júlio Mesquita,"Apartamento para alugar com 48 m², 1 quarto, 1 banheiro, 1 vaga emSanta Efigênia, São Paulo",1.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-santa-efigenia-sao-paulo-48m2-id-2874635425/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.800,R$ 1.100,R$ 70,,"Apartamento para alugar com 50 m², 2 quartos, 2 banheiros, 1 vaga emVila Maria, São Paulo",2.0,2,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-maria-sao-paulo-50m2-id-2874646781/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.300,R$ 878,R$ 228,Rua Aroaba,"Apartamento para alugar com 72 m², 2 quartos, 2 banheiros, 1 vaga emVila Leopoldina, São Paulo",2.0,2,72.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-leopoldina-sao-paulo-72m2-id-2874649977/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.300,,R$ 104,,"Apartamento para alugar com 45 m², 1 quarto, 1 banheiro emVila Ema, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-ema-sao-paulo-45m2-id-2874701468/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.800,R$ 827,R$ 322,,"Apartamento para alugar com 84 m², 3 quartos, 2 banheiros, 2 vagas emParque Reboucas, São Paulo",3.0,2,84.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-parque-reboucas-sao-paulo-84m2-id-2874676732/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
